Column1,Column2
Text,Label
"????? ????? ??????? ??? ????? ????? ????? ???????????! ?????? ?? ??? ?? ??? ????? ???? ???? ????? ????? ???????? ?????????? ?????? ???? ????? ????? ?? ????? ??? ?? ???? ??? ?????? ???? ?????? ????? ????? ????? ????

?? ??? ??? ??????????? ??????? ???? ????? ??????? ?? ???? ???? ??????, ???????????? ??? ???? ? ??? ?? ??????? ?????? ?? ???? ??????? ????????????? ??? ???????? ??? ????????!

#davidwarner #BigBashLeague #BBL #CricketTimeMagazine",not relevant
"?? ?????? ? ??? ???? ???, ?????????? ??????, ??????? ?????, ??? ???????? ?????? ?? ???? ?????? ???? ???? ??????? ??? ??? ??????? ??????? ???? ???????

?????? ???? ??????? ???????? ???? ?????? ????-???? ?????? ???? ?????, ??? ???? ????? ?? ????????? ???, ????????? ?????, ???? ????????, ???????

??????? ?????? ??????? ?????????

#BPLT20 #Bpl2025 #TaskinAhmed #CricketTimeMagazine",not relevant
"*?? ????? ???? ???? ?????? ???? ????? ???????:

?????????????-????: ??? ?????
????? ?????? ???? ?????? ? ????? ??????? ?? ????

?????????-?????????: ??? ????? 
????? ?????? ???? ?????? ?? ????? ??????? ?? ???? 

????????-???: ?? ????? 
????? ?????? ???? ?????? ??  ????? ??????? ?? ????

(???????? ??? ??????? ???????)

#StuartBroad #JamesAnderson #ChamindaVaas #MuttiahMuralitharan #GlennMcGrath #ShaneWarne #birthday #happybirthday #worldrecord #CricketTimeMagazine",not relevant
"???????? ????? ???????? ??????? ???? ???? ???? ???? ?????????? ????? ?????? ???????????? ???????? ?? ??? ??? ???? ????? ?? ???? ??? ???????? ??? ????? ???????

(???????? ??? ??????? ???????)

#ChamindaVaas #ShahidAfridi #GlennMcGrath #Birthday #CricketTimeMagazine",not relevant
"??? ??????????? ?????? ?? ??? ?????? ? ?????! ??? ????? ???? ??????????? ???????? ???????? ????? ?????? ?????? ?????? ????? ???? ????? ? ????? ? ???????? ???????? ????? ?????? ????? ????? ???????? ???!

????? ????? ???? ????? ?? ?????? ?????????????? ??; ????? ????? ????? ????????? ??????? ??????? ????? ???????? ????? ???? ??? ??????? ???? ?? ?????? ???? ????? ???? ???? ????????? ????? ???????????

??????????? ???? ??????? ?????? ???? ?? ??? ???? ?????? ???? ????? ??? ????? ???? ??? ????? ??? ????????? ????????????? ???? ?????? ???? ???????? ?????? ??? ?? ?????? ??? ????? ??????????????? ????? ????? ???? ?? ??????? ????? ????? ?????????

???????? ??????????? ?????? ?????? ??? ??? ????? ??????? ???? ????? ??????? ????? ???? ???? ???? ?? ???? ?????????? ??? ???????? ??? ???????? ????? ???????? ???? ??????? ???? ????? ???????????? ??? ?????? ????? ????????? ????? ? ????? ????? ???? ????? ?? ‘??????-???’ ????? ????? ???? ????? ?? ?????? ????? ?????? ??? ??? ??????

??? ??????? ????? ??????? ??????? ???? ????? ????? ?? ???? ? ????? ???????? ????? ????? ???? ??? ??, ??????? ???????? ????? ? ??????? ????? ?????? ??????? ????? ? ???? ?????????? ??? ?????? ????

 ???? ???? ??????????? ????????? ???? ????? ???????? ??? ??????? ???? ????? ??????? ????? ?????? ??? ??? ??????? ?????? ??????, ???????? ? ????????????? ????? ????

?????? ??????? ???????? ????????? ???? ????? ????? ? ????? ??????? ???????? ????? ????????? ????????! ??

#ChamindaVaas #HappyBirthday #Birthday #CricketTimeMagazine",not relevant
"????? ????? ?????????? ??? ??? ???????? ?? ????? ????????? ??????, ???? ??????? ??????????? ?? ??? ???? ???-????? ????? ????? ????! ???? ???? ????? ?????????? ??? ?????????? ??????? ???? ?? ?????? ????????

?? ?? ??? ?? ?? ????? ???? ???? ???? ???? ???? ????? ????? ???????? ??????? ??????? ??????????? ???????? ??? ????? ??????????? ?????!

#MitchellOwen #BBL #BigBashLeague #CricketTimeMagazine",not relevant
"?? ???, ?????? ????? ? ???????? ????????? ????? ???? ???? ????? ?????? ???????? ????? ????????? ????????? ???? ???????? ??????!

???? ???? ?????? ?? ???? ???????????? ???? ???? ??? ??????? ? ??? ???? ?? ?????? ??? ?? ????? ????? ??????, ?? ???? ????? ????? ???????? ???????? ????? ??????? ??????? ?????? ?????? ???????? ??? ? ????? ????????? ????? ??.?? ????

#jaspritbumrah #ICCAwards #testcricket #CricketTimeMagazine",not relevant
"?????????? ?? ??? ????? ????? ????? ??????? ?????????? ?? ??? ? ??? ??????? ?????? ??????????? ??? ?????? ????? 

?? ???? ???? ??????? ????? ??????????? ????? ????????? ??????? ??? ????? ??????? ????? ???? ???? ?????? ????? ??????? ???????? ?????????? ?? ??? ?????? ???? ???? ????????????

#MitchellOwen #BigBashLeague #BBL #t20cricket #CricketTimeMagazine",not relevant
"??????? ????? ????????? ??????? ??????? ????? ???? ???? ???????? ???? ????? ??????? ??????????? ????? ??????

????? ?? ??? ?? ????? ? ? ????? ????????  ????? ???? ??? ???? ??? ???????? ???.?? ????

#MitchellOwen #BigBashLeague #BBL #t20cricket #CricketTimeMagazine",not relevant
"??? ???? ????? ??? ????? ??????:

?. ????? ?? ?????: ??? ????? (????????)
?. ?????????? ????????:  ??? ????? (????????????)
?. ???????? ??????: ??? ????? (????????)

(?????????? ???????? ??????? ???????)

#ShakibAlHasan  #DanielVettori #RavindraJadeja #Birthday #CricketTimeMagazine",not relevant
"?????????? ?? ??????????? ??????? ???????? ???????? ????????? ????????? ???? ????????????? ??? ????????!

???? ???? ?????????? ?????? ???? ????? ????? ???? ??.?? ??? ?????? ??? ???, ?? ???? ??.?? ??? ???????? ?? ?????!

#AzmatullahOmarzai #ICCAwards #odicricket #CricketTimeMagazine",not relevant
"??????????? ???????... ??

?? ??? ???? ????? ????-?????? ?? ?? ???? ?????? ????? ?? ?? ??? ??????? ?????

#Nostalgia #Cricket #CricketTimeMagazine",not relevant
"???? ??-?? ????????? ??????????? ??? ????????, ?? ?? ????????? ?? ???? ????????? ???? ????? ????? ??????? ???? ???? ????????? ?????? ???? ? ??? ????? ????????? ????? ??? ?????? ???????? ??? ?? ????? ????? ???????? ???? ??-?? ????????? ???? ????? ?? ?????, ?? ? ????????? ??????? ???????? ????? ??????? ???????

?????? ???? ???? ???? ?????? ??? ??? ???? ??-???? ??????? ??????? ?? ?????, ?? ??? ????? ?????? ??? ?.?? ????

#ArshdeepSingh #ICCAwards #t20cricket #CricketTimeMagazine",not relevant
"? ????? ???? ? ??? ?????? ???????? ??????????? ??????????? ‘????? ??????? ?????’ ???? ???????? ????????? ???????? ????? ?????????? ????? ??????? ??????????!

#RichardIllingworth #ICCAwards #CricketTimeMagazine",not relevant
"??????????? ???? ?? ??? ?? ????? ????? ???? ????? ?????? ?????? ??????!

??????? ??????? ??????? ?????? ??????? ????? ??????????????? ????? ??????????? ???????? ???? ????? ????? ? ?????? ??????? ?????? ????????? ?????? ????????????? ??? ????????? ?? ????? ?????? ?????????? ???????? ??????????? ??? ????? ??????? ?????? ?? ?????????? ???????????? ???? ???????? ??????????????

?? ??????? ??? ???? ????? ????? ??????? ???????? ????? ?? ? ?????? ??????? ??????????? ????? ??? ??? ???? ???????? ??????????? ?? ?? ???????????? ???? ????, ?? ???? ?? ????? ?????? ?????? ???? ?????, ??? ?? ??????? ?? ??? ?????? ????? ??? ????!

?? ????? ???? ???? ???? ????? ?? ?? ???? ??????????? ???? ????? ????? ????? ?????????????!

#PAKvWI #WIvPAK #testcricket #CricketTimeMagazine",not relevant
"????? ???? ????? ??????? ????? ????? ?????????????? ?????????? ????? ????????? ?????? ?? ??? ?? ??? ????? ?????? ??? ?? ?????????? ???? ???? ???????? ?????????? ???????????? ??? ??? ????????? ???????? ??????? ??????? ??????? ???? ??????????? ????? ?? ???? ?? ???????????

???????? ????? ??? ????? ????? ???????, ?? ????? ?? ??????? ?????? ???? ??? ????? ?????? ??? ?? ?????? ?????????? ????? ??????, ??? ????????? ????? ???? ????????? ?????? ?????????????? ???? ??? ???????? ??????? ????? ????, ??? ???? ??????????? ???????? ?? ??????? ??????? ?????????????? ??? ???????? ??????? ?????? ?????

???? ? ??? ??????? “??????? ?? ??? ????” ?????????? ?????????? ????????? ??????? ?? ??????? ?????? ????????????? ???, ????? ???? ??? ??? ????? ?? ????????? ??? ???????????? ????? ???? ????? ??? ??!

???? ????????? ????????? ????????? ?????????? ????????? ????????? ??

#DanielVettori #happybirthday #birthday #CricketTimeMagazine",not relevant
"????? ???? ????????? ?????? ??????? ???????? ?? ??????? ?????????? ???????? ??????? ????????????? ?????????? ???? ???????????? ????? ??????? ???????? ?????? ????? ??? ??????????? ?????? ??? ????????? ???????

?????? ???? ?? ???????? ?? ???????? ?????? ??????????? ????? ????? ?????? ??? ?????? ???????????? ????? ?????? ????? ?????? ?????? ???? ????? ????? ?? ??????? ???? ????????? ?????? ????? ?????????? ??? ?????, ??????? ??? ?????? ???????????? ???? ???? ?????? ??? ???? ??????? ??????? ??????????????

?????? ???????? ?????, ?????? ???? ????? ???? ???? ????? ?????? ???? ????????? ???? ????? ??? ??????? ?? ????? ??? ???? ???? ????, ???? ???? ????? ??? ??????? ?? ??????? ?? ????????????? ???? ????????????? ?????????? ???? ??? ?? ???? ?????????????

(?????? ????? ????????)

#Bpl2025 #BPLT20 #durbarrajshahi #CricketTimeMagazine",not relevant
"???? ???? ??????? ???????? ???????? ????????? ????????? ???? ?????????? ???????? ???????! 

???? ????? ???????? ?? ??? ?????? ????????? ????? ???????? ???? ?? ???????? ? ?????? ??? ?????? ???? ?? ?????? ???????? ?? ???????? ?????? ?????

???? ???? ???????? ??????? ? ?????? ??????? ??? ?????? ?? ?????????? ?????? ???? ???, ?? ???? ???? ?????????? ???? ?????? ???????? ??? ???? ??????? ????? ?? ???????? ???, ? ???????? ?????? ????

#KaminduMendis #ICCAwards #CricketTimeMagazine",not relevant
"*?????? ?? ???? ???????? ?????: 

?. ?????? ?????: ?? ????? (????-??)
?. ????? ?? ?????: ?? ????? (????-??)
?. ???? ?????: ?? ????? (????-??)
?. ?????? ?????: ?? ????? (????-??)
?. ?????? ?????: ?? ????? (????-??)
?. ????? ?? ?????: ?? ????? (????-??)
?. ??????? ??? ?????????: ?? ????? (????-??)
?. ????? ?????: ?? ????? (????-??)

#BPLT20 #BPL2025 #TaskinAhmed #ShakibAlHasan #CricketTimeMagazine #?????? #????? #??????",not relevant
"????? ???? ???????? ???????? ???? ??????!?

-??????? ??????? ????? ???? ??????

???? ????? ???? ????? ???????? ??????, ??????? ?? ??? ??????? ????? ???? ???? ?????? ???????? ????? ???????? ????, ???? ???? ???????? ????????? ????? ??? 

?? ???? ????? ??????????? ??????? ???? ?????? ???? ???? ?? ??? ?????????? ????? ????? ???, ???? ????? ??? ?????? ???? ?? ????? ????? ??????? ??? ??????????? ????? ???????? ???? ???? ?? ????? ??????? ????? ???? ??? ?? ??? ??? ??? ?? ??? ???? ??????????

??????? ??????? ??????? ?????? ?????? ????? ??? ??????? ???? ????????????? ? ????? ????? ?????? ???, ????? ?? ?? ???? ??????? ??? ????????????? ??????? ???? ????? ??????? ???? ???

?? ???? ?? ????????? ????, ????? ???? ??????????? ??????? ???? ???? ???? ??? ???? ??????? ???????? ???? ???! ?????? ???? ?????? ?????????? ??? ???? ???? ???? ???? ???? ?????? ?????? ?? ????? ??? ???????????? ????, ??? ???????????? ??????? ? ??????? ???? ?????? ??????? ???? ????????????? ??????? ??????? ??? ???, ???? ??? ??? ???????? ?? ???? ?????????

????? ???? ???? ?????? ??????? ???? ???? ???? ?? ???????? ??????? ??? ???? ????! ?????? ?????? ????? ??? ???????? ????????????? ???????? ????????????, ?????? ? ??????????? ????!

#Bpl2025 #BPL #BPLT20 #CricketTimeMagazine",not relevant
"???? ??? ???? ??? ???? ???? ?? ??... ??

??????? ?? ????? ?????! ?????

#Bpl2025 #BPLT20 #CricketTimeMagazine",not relevant
"????????? ???? ???????? ???? ? ??? ???????!

????? ??? ??????????? ????? ??????? ?????? ?????????? ??? ???? ?????? ???? ???????

#testcricket #RanganaHerath #NomanAli #hattrick #CricketTimeMagazine",not relevant
"? ??? ?? ??? ??????? ??????? ???? ????? ???????? ?? ??? ???? ??????? ??? ????? ?????? ????? ????? ??????? ????? ?????????, ?? ????? ???? ???????????? ???????, ???? ?? ????? ???? ??????? ???? ???????

???? ????? ?? ?? ?????? ???? ?????? ??????? ?????? ?? ??? ?????? ????? ????? ????? ???????????? ???? ???? ????? ????? ????? ????? ???? ???????????? ???? ????? ????? ????

????? ????????????? ???? ???? ??????? ????? ????? ????? ????????, ?? ???? ???????? ???? ????????????? ???? ??????????? ????? ????? ???? ???? ????? ????????? ???? ???? ??????? ???????? ????? ????? ?? ????? ????? ??????? ??? ????? ??? ???????? ??????????

???????? ???????? ???? ????? ?:?? ?????? ??????? ??????????? ??????? ???? ????? ??????????? ????? ???????? ??? ?????? ???? ??????????? ??? ????, ????? ??????? ??? ?????? ????????? ??????????? ??? ??? ????? ????

#davidwarner #BigBashLeague #BBL2025 #BBLT20 #CricketTimeMagazine",not relevant
"??? ??????????? ?????? ?? ??? ?????? ? ?????! ??? ????? ???? ??????????? ???????? ???????? ????? ?????? ?????? ?????? ????? ???? ????? ? ????? ? ???????? ???????? ????? ?????? ????? ????? ????! ????? ??????? ??????? ???? ????? ??????? ????????? ??? ????!

????? ????? ???? ????? ?? ?????? ?????????????? ??; ????? ????? ????? ????????? ??????? ??????? ????? ???????? ????! ???? ??? ??????? ???? ?? ?????? ???? ????? ???? ???? ????????? ????? ???????????

???? ?? ????? ???? ?? ????????? ????? ??????? ??? 

#CricketTimeMagazine",not relevant
"? ??????? ??-?? ?????? ?-? ??  ?????? ??? ???????????????????? ???? ? ?????? ????????? ?? ?????? ????? ????? ???? ??? ????? ????? ?????? ??? ????? ???????????? ??????? ????? ?????? ??? ????? ?? ?????? ?????? ??? ???????? ???? ??????, ??? ???????? ?????? ?????????? ?????? ????? ???? ????? ?????, ??? ??????? ?? ???? ??????

??? ? ??????? ?????-?? ???? ??? ?????? ????????? ??????? ??? ??????? ????? ????? ?????, ?? ????????????? ???????? ?????? ?????? ???????? ????? ??? ??????? ???? ??????? ????????? ??* ????? ??????? ?????? ?? ??? ????? ??? ??? ????????? 

?????? ????? ???? ????? ??? ??????????? ?????? ??? ????? ? ??????? ?????? ?????? ????? ??? ????? ??? ???? ?????????

#INDvsENG #ENGvsIND #t20cricket #T20 #CricketTimeMagazine",not relevant
"???????? ????? ???? ???? ??????????? ??? ???? ??????????? ??????? ?????? ??-?? ???????? ????????? ???? ???????? ???, ????? ???? ???????? ????????

#IftikharAhmed #Bpl2025 #BPLT20 #CricketTimeMagazine",not relevant
"*??-?? ???????? ???????? ????? ?????:

?. ????? ????: ????? ??? (??? ?????) ???
?. ?????? ?????: ????? ??? (??? ?????) ????
?. ????? ???????: ????? ??? (??? ?????) ???
?. ????????? ????: ????? ??? (??? ?????) ??????????????
?. ????? ?????: ????? ??? ((??? ?????) ????
?. ????? ?????????: ????? ??? (??? ?????) ????
?. ?? ??????: ????? ??? (??? ?????) ??????????????
?. ????? ?????: ????? ??? (??? ?????) ????

??-?? ???????? ?? ????? ????? ??????? ?????? ??? ?????????????? ????? ??? ???????? ???????? ??? ?? ????????, ??? ???????? ??? ???????? ???.?? ???? ?? ???????? ???.?? ???????? ??? ????? ?????????!

#JosButtler #ChrisGayle #ShoaibMalik #viratkohli #t20cricket #T20 #CricketTimeMagazine #??????",not relevant
"????????????? ????????? ??????????? ????? ???? ????????????? ??????? ???? ????? ??? ? ??????????????!

?????? ??? ??????????? ???? ??? ?????? ????????????? ??????? ?????????? ????? ???????????, ????, ???????????? ? ?????????! 

??????????? ???? ???? ???????????? ???? ????? ????? ?????? ?? ??????????? ?????! 

??? ?????? ????? ?? ????? ???? ???????? ????? ????? ? ??, ?????? ????? ?? ????? ????? ? ???? ?????????????? ?????? ???? ???????!

#ChampionsTrophy2025 #CricketTimeMagazine",not relevant
"??????? ??????? ????????? ????? ?????????? ????? ????????? ??? ??? ??? ???????? ????????? ????? ??? ?????? ????? ????? ??? ???? ??? ??????? ??????? ?????? ??? ????? ??????????!

(???????? ?????? ??????? ???????)

#RahulDravid #CheteshwarPujara #birthday #CricketTimeMagazine",not relevant
"*?????? ??????????? ???? ?????????? ??? ?????:

????????? ?????: ???? ????????? (????)
????????? ?????: ???? ????????? (????)
???????? ???????: ???? ????????? (????)
?????????? ????: ???? ????????? (????)
??????? ???: ???? ???????? (????)
??????? ???: ???? ??????? ?????? (????)

#NomanAli #PAKvWI #testcricket #hattrick #CricketTimeMagazine",not relevant
"??????? ??? ????? ?? ??? ?????, ?????? ??????????? ?????? ???? ??? ?? ?????????? ? ????? ????????????!

??????? ????? ??? ??????? ???? ??? ?????? ???? ??????

??????, ???????? ?????? ???? ????????
???? ????? ??????? ???? ??? ??????

#CricketTimeMagazine",not relevant
"????? ??????? ???????? ??????? ????????? ?????????????? ????? ????????? ????????: 

?????? ????? ?????? ???? ????????, ???? ???
???????? ??????? ???? ?????????, ???? ???
??????? ????? ???? ???????????, ???? ???
??????? ????? ???? ??????? ??????, ???? ???
??????? ????? ???? ?????????, ???? ???
????????? ????? ???? ????????????, ???? ???
???????????? ?????? ???? ????????????, ???? ???
???????? ???????? ???? ?????????, ???? ???
???????? ????? ??? ???? ???? ???????, ???? ???
?????? ????? ????? ???? ???????????, ???? ???

(????????? ????? ??????? ???????)

#testcricket #ShahriarNafees #birthday #crickettimemagazine",not relevant
